Time 1s	hr 51.2616495836506
Time 2s	hr 43.57120917408744
Time 3s	hr 43.86474423088956
Time 4s	hr 40.97412056334391
Time 5s	hr 39.86529251889142
Time 6s	hr 46.450187032321764
Time 7s	hr 45.81460261482558
Time 8s	hr 46.870391426912896
Time 9s	hr 53.665375835491595
Time 10s	hr 46.66299506667034
Time 11s	hr 46.66299506667034
Time 12s	hr 43.24557460827378
Time 13s	hr 41.757446194764405
Time 14s	hr 37.91875378246048
Time 15s	hr 38.59788383670851
Time 16s	hr 35.73375465494605
Time 17s	hr 37.579145438206695
Time 18s	hr 35.69934086521941
Time 19s	hr 36.44079145754912
Time 20s	hr 36.603133550338725
Time 21s	hr 36.4288447316417
Time 22s	hr 38.03857390343351
Time 23s	hr 36.91147044245291
Time 24s	hr 30.297793987321732
Time 25s	hr 31.81236507182988
Time 26s	hr 32.743977662822154
Time 27s	hr 32.38656430425195
Time 28s	hr 32.09112209937869
Time 29s	hr 31.686109122396765
Time 30s	hr 31.695609732802154
Time 31s	hr 31.022112530789503
Time 32s	hr 29.82572789906402
Time 33s	hr 30.347681858938664
Time 34s	hr 27.5275062297613
Time 35s	hr 30.03056751406093
Time 36s	hr 27.554209175252826
Time 37s	hr 28.547528173020357
Time 38s	hr 29.145220591249025
Time 39s	hr 30.809422450803325
Time 40s	hr 32.84221163043864
Time 41s	hr 41.33512614929375
Time 42s	hr 44.50814808547582
Time 43s	hr 49.784359565130885
Time 44s	hr 53.79086890138832
Time 45s	hr 53.32415947127149
Time 46s	hr 54.83735315313747
Time 47s	hr 56.70053826884104
Time 48s	hr 56.425934299836406
Time 49s	hr 59.886590102696466
Time 50s	hr 61.83906089635559
Time 51s	hr 60.176236639841385
Time 52s	hr 52.87508785939404
Time 53s	hr 51.319145264667306
Time 54s	hr 52.43174100065668
Time 55s	hr 56.41944036193609
Time 56s	hr 57.41438587398555
Time 57s	hr 62.85961198270158
Time 58s	hr 61.08682005024232
Time 59s	hr 59.10432841026765
Time 60s	hr 62.60627124700355
