Time 1s	hr 84.15733978562662
Time 2s	hr 79.18685415379466
Time 3s	hr 80.29819289843446
Time 4s	hr 72.6594154386552
Time 5s	hr 69.28115407118925
Time 6s	hr 71.60671405382074
Time 7s	hr 71.62479313050562
Time 8s	hr 69.22665871636964
Time 9s	hr 67.77064082192885
Time 10s	hr 63.8447499983241
Time 11s	hr 65.50600292097857
Time 12s	hr 59.17811072697957
Time 13s	hr 63.10589680641862
Time 14s	hr 62.13096078972547
Time 15s	hr 58.20650181500225
Time 16s	hr 58.186734549465534
Time 17s	hr 63.71002391111422
Time 18s	hr 68.96991387519864
Time 19s	hr 69.62225296829962
Time 20s	hr 68.4078666061519
Time 21s	hr 78.08569280099262
Time 22s	hr 75.74736771584844
Time 23s	hr 76.85967672243493
Time 24s	hr 73.13022692583627
Time 25s	hr 74.14856821122984
Time 26s	hr 71.53306156767209
Time 27s	hr 67.72765388656758
Time 28s	hr 63.09236435070624
Time 29s	hr 64.68667510339017
Time 30s	hr 55.73341222707433
Time 31s	hr 67.90416310958574
Time 32s	hr 63.11842379662093
Time 33s	hr 72.58419109059552
Time 34s	hr 75.23101799949058
Time 35s	hr 76.3379206627619
Time 36s	hr 78.95108223840774
Time 37s	hr 83.85884543700722
Time 38s	hr 83.69898702335236
Time 39s	hr 85.81548771462546
Time 40s	hr 75.28095951940028
Time 41s	hr 75.58046267714047
Time 42s	hr 72.6703200165276
Time 43s	hr 73.15825242614939
Time 44s	hr 69.22263266698502
Time 45s	hr 69.48609881637087
Time 46s	hr 72.16901839770695
Time 47s	hr 71.17398547177585
Time 48s	hr 69.30059837948046
Time 49s	hr 67.0957378103504
Time 50s	hr 67.04860831896985
Time 51s	hr 71.04204427486458
Time 52s	hr 69.27024988234912
Time 53s	hr 72.20338169789244
Time 54s	hr 72.4417667528329
Time 55s	hr 70.59217637604941
Time 56s	hr 71.45478002110013
Time 57s	hr 74.74046296381205
Time 58s	hr 79.93610795708943
Time 59s	hr 79.31480032129998
Time 60s	hr 74.4577320931787
