Time 1s	hr 61.59202322528287
Time 2s	hr 59.334793183508495
Time 3s	hr 57.04739180381032
Time 4s	hr 57.22861103712838
Time 5s	hr 50.29923275541405
Time 6s	hr 51.9665017433953
Time 7s	hr 50.64844839164245
Time 8s	hr 50.153988866746815
Time 9s	hr 52.55566597598391
Time 10s	hr 52.188456604896864
Time 11s	hr 55.98326656015659
Time 12s	hr 58.93143749589375
Time 13s	hr 61.56904461948766
Time 14s	hr 69.7196337957222
Time 15s	hr 69.24422779068009
Time 16s	hr 66.84616888654305
Time 17s	hr 70.00516638128032
Time 18s	hr 74.13022466863512
Time 19s	hr 77.01942792358655
Time 20s	hr 75.68714386899427
Time 21s	hr 73.3318053157914
Time 22s	hr 69.72510633844736
Time 23s	hr 71.4185792041426
Time 24s	hr 73.14698867054835
Time 25s	hr 74.7476612391157
Time 26s	hr 75.85120059282092
Time 27s	hr 72.99756279387421
Time 28s	hr 72.54096700736265
Time 29s	hr 75.74208566643493
Time 30s	hr 79.52010959583868
Time 31s	hr 76.43814467679132
Time 32s	hr 78.79901093906176
Time 33s	hr 77.00562843764071
Time 34s	hr 79.6625465559696
Time 35s	hr 70.0517697756527
Time 36s	hr 66.14476754705814
Time 37s	hr 68.58918978666283
Time 38s	hr 63.614937258019324
Time 39s	hr 64.85322704091291
Time 40s	hr 63.692882094317085
Time 41s	hr 57.12398869647462
Time 42s	hr 56.749816024190594
Time 43s	hr 62.13229546626473
Time 44s	hr 63.01865336384805
Time 45s	hr 67.33754161544076
Time 46s	hr 66.08059202219007
Time 47s	hr 65.21435111841231
Time 48s	hr 64.64525062171585
Time 49s	hr 63.69145751913393
Time 50s	hr 66.89265980154562
Time 51s	hr 66.21963751443863
Time 52s	hr 64.1651189237902
Time 53s	hr 64.65343383938061
Time 54s	hr 59.93307124101672
Time 55s	hr 57.358974834513866
Time 56s	hr 57.76096981096068
Time 57s	hr 57.57632031805242
Time 58s	hr 56.99154429122118
Time 59s	hr 55.9416867172725
Time 60s	hr 57.155554748322075
