Time 1s	hr 60.637138670869675
Time 2s	hr 61.13766391559598
Time 3s	hr 63.96925040779042
Time 4s	hr 58.85783493808462
Time 5s	hr 57.1156821661204
Time 6s	hr 54.7428506293261
Time 7s	hr 56.69514726391214
Time 8s	hr 56.811549022012
Time 9s	hr 59.16692638938557
Time 10s	hr 65.9821321046072
Time 11s	hr 63.56199783240778
Time 12s	hr 62.65493782938394
Time 13s	hr 64.3274338429326
Time 14s	hr 69.56648736923509
Time 15s	hr 76.11472150368749
Time 16s	hr 73.22294161297015
Time 17s	hr 73.31433351650183
Time 18s	hr 72.46865107720447
Time 19s	hr 73.48503481858837
Time 20s	hr 70.36864823394149
Time 21s	hr 70.9008671702448
Time 22s	hr 68.52183371403841
Time 23s	hr 63.14559198145226
Time 24s	hr 67.07665340063171
Time 25s	hr 68.50859711271018
Time 26s	hr 69.24724135777493
Time 27s	hr 70.51484630792264
Time 28s	hr 72.40459615928994
Time 29s	hr 72.38525546608325
Time 30s	hr 68.73675958168474
Time 31s	hr 72.41930673260899
Time 32s	hr 69.8016070170157
Time 33s	hr 69.27576117319839
Time 34s	hr 70.78377945936462
Time 35s	hr 74.04821786583412
Time 36s	hr 72.30793229586624
Time 37s	hr 67.53639904925132
Time 38s	hr 68.75496611390676
Time 39s	hr 70.29447655612064
Time 40s	hr 66.58140104490188
Time 41s	hr 69.73164652762112
Time 42s	hr 63.597698933496126
Time 43s	hr 63.51406900730695
Time 44s	hr 55.66841984045956
Time 45s	hr 55.68201847069425
Time 46s	hr 61.06488267044258
Time 47s	hr 62.982270994572445
Time 48s	hr 63.673951334592445
Time 49s	hr 65.08905832101067
Time 50s	hr 63.924937463298065
Time 51s	hr 69.97525505344164
Time 52s	hr 74.1196823852995
Time 53s	hr 70.16383936868995
Time 54s	hr 66.50877041178963
Time 55s	hr 63.820758633527774
Time 56s	hr 63.54762832784226
Time 57s	hr 61.93572617951176
Time 58s	hr 63.963815243290874
Time 59s	hr 62.84563462438232
Time 60s	hr 60.569194971800606
