Time 1s	hr 67.84896294505022
Time 2s	hr 70.04357347029628
Time 3s	hr 73.78845278968137
Time 4s	hr 73.8593134065083
Time 5s	hr 71.63542880783233
Time 6s	hr 73.01464213323334
Time 7s	hr 74.57245050696409
Time 8s	hr 72.03209121340745
Time 9s	hr 67.97066464383275
Time 10s	hr 65.51740547405382
Time 11s	hr 69.98074999218045
Time 12s	hr 69.98890272925341
Time 13s	hr 69.51785497745834
Time 14s	hr 68.59933798936409
Time 15s	hr 71.61593234872524
Time 16s	hr 76.66869494409039
Time 17s	hr 72.30456549759961
Time 18s	hr 70.11964036146229
Time 19s	hr 69.25699729152495
Time 20s	hr 69.2010575389474
Time 21s	hr 64.31526485293904
Time 22s	hr 65.43564050313334
Time 23s	hr 69.87613322545316
Time 24s	hr 63.52463852336593
Time 25s	hr 56.752704221687914
Time 26s	hr 50.46265847377219
Time 27s	hr 53.58384535178156
Time 28s	hr 52.40245356050729
Time 29s	hr 52.612354926179435
Time 30s	hr 52.43952149985306
Time 31s	hr 52.46022727868737
Time 32s	hr 50.14270334802165
Time 33s	hr 50.31961552123513
Time 34s	hr 49.80663714530401
Time 35s	hr 52.26928757522428
Time 36s	hr 57.603318565585276
Time 37s	hr 59.78230340639403
Time 38s	hr 58.45797159260899
Time 39s	hr 58.65153856671025
Time 40s	hr 57.385912899724936
Time 41s	hr 63.36273720265989
Time 42s	hr 66.95096480905116
Time 43s	hr 68.99064816432796
Time 44s	hr 66.4317178115904
Time 45s	hr 65.17083193970275
Time 46s	hr 69.56654309681177
Time 47s	hr 62.657964644992795
Time 48s	hr 68.93306971795644
Time 49s	hr 72.02666322306517
Time 50s	hr 67.2509853441154
Time 51s	hr 70.44316231010754
Time 52s	hr 72.09691372010633
Time 53s	hr 74.95729464298898
Time 54s	hr 80.24880729298253
Time 55s	hr 69.70362546509989
Time 56s	hr 77.83253260412994
Time 57s	hr 75.86241252632901
Time 58s	hr 66.04901953477983
Time 59s	hr 69.9752713752356
Time 60s	hr 65.03958452003887
