Time 1s	hr 75.93590608753412
Time 2s	hr 75.9290680769905
Time 3s	hr 72.77643578254795
Time 4s	hr 74.63736890088781
Time 5s	hr 71.45701735356431
Time 6s	hr 77.1137546872449
Time 7s	hr 86.8997454396132
Time 8s	hr 85.95487692316061
Time 9s	hr 88.9004551673722
Time 10s	hr 93.42790521134381
Time 11s	hr 92.30381744077465
Time 12s	hr 94.4771854130787
Time 13s	hr 92.97429038397209
Time 14s	hr 94.10453423779666
Time 15s	hr 88.86187769908504
Time 16s	hr 90.9226962507326
Time 17s	hr 87.55768227143477
Time 18s	hr 86.20393734052537
Time 19s	hr 82.12841818476859
Time 20s	hr 89.71956771275688
Time 21s	hr 92.08613004300608
Time 22s	hr 91.32873473639566
Time 23s	hr 85.0070952082838
Time 24s	hr 86.82914135597592
Time 25s	hr 82.4755248725253
Time 26s	hr 82.38675702592941
Time 27s	hr 83.97890139921017
Time 28s	hr 79.80275786667714
Time 29s	hr 74.5094576717353
Time 30s	hr 72.97495414436183
Time 31s	hr 76.1966299754479
Time 32s	hr 77.18336449924897
Time 33s	hr 76.98451978168399
Time 34s	hr 77.24952300833557
Time 35s	hr 78.20907815350684
Time 36s	hr 78.03208991666041
Time 37s	hr 81.10887562571737
Time 38s	hr 84.84639996960702
Time 39s	hr 79.4225863926583
Time 40s	hr 76.50819488839286
Time 41s	hr 76.22481446112917
Time 42s	hr 75.40242904736552
Time 43s	hr 76.46475973397436
Time 44s	hr 76.17379936788483
Time 45s	hr 78.2359627932251
Time 46s	hr 83.12923662526225
Time 47s	hr 81.03173511291125
Time 48s	hr 86.33723263453395
Time 49s	hr 85.63216164822806
Time 50s	hr 90.98115165721212
Time 51s	hr 87.3906941169752
Time 52s	hr 82.36990726532058
Time 53s	hr 81.49579386103045
Time 54s	hr 82.97013952546148
Time 55s	hr 69.93705548445111
Time 56s	hr 75.76275893791245
Time 57s	hr 70.1746693239391
Time 58s	hr 73.83959386090734
Time 59s	hr 71.64711140178588
Time 60s	hr 77.42492635947032
