Time 1s	hr 63.12006455668065
Time 2s	hr 57.79158418724245
Time 3s	hr 54.61601657696516
Time 4s	hr 55.014035201037686
Time 5s	hr 50.99946257495222
Time 6s	hr 51.03317188068137
Time 7s	hr 50.48764703488575
Time 8s	hr 48.36706289156596
Time 9s	hr 48.578627808405244
Time 10s	hr 43.82555388534716
Time 11s	hr 46.34022603371801
Time 12s	hr 47.76162201743142
Time 13s	hr 50.98624932721733
Time 14s	hr 47.579211088418575
Time 15s	hr 48.8525174658933
Time 16s	hr 44.80628482821738
Time 17s	hr 49.92004710170507
Time 18s	hr 52.75875821491108
Time 19s	hr 54.62507086212239
Time 20s	hr 52.41638440080085
Time 21s	hr 54.45437430044447
Time 22s	hr 56.65995543485042
Time 23s	hr 60.097289498731094
Time 24s	hr 60.61099366749335
Time 25s	hr 54.60572499389943
Time 26s	hr 58.47597952951066
Time 27s	hr 56.39229715056203
Time 28s	hr 50.67914114017106
Time 29s	hr 49.94277924978547
Time 30s	hr 50.6604588184736
Time 31s	hr 45.18280227579969
Time 32s	hr 43.07326030357476
Time 33s	hr 52.08392754480445
Time 34s	hr 51.19570829790085
Time 35s	hr 48.50799267711037
Time 36s	hr 47.91864892045764
Time 37s	hr 50.06685773212553
Time 38s	hr 53.41497040009357
Time 39s	hr 60.817616836343184
Time 40s	hr 65.35512509934966
Time 41s	hr 65.62987435127765
Time 42s	hr 61.606401288422575
Time 43s	hr 62.579302969821974
Time 44s	hr 62.109035750622134
Time 45s	hr 58.20307535592605
Time 46s	hr 57.99695528873321
Time 47s	hr 60.674803319594375
Time 48s	hr 56.16830729265149
Time 49s	hr 56.58902484786607
Time 50s	hr 59.058834864079216
Time 51s	hr 61.71615765351522
Time 52s	hr 63.817403263268304
Time 53s	hr 66.99044862465013
Time 54s	hr 68.90226683237859
Time 55s	hr 67.46659560185098
Time 56s	hr 66.47919680898002
Time 57s	hr 65.25456086964854
Time 58s	hr 63.36309846565188
Time 59s	hr 60.1196169959561
Time 60s	hr 57.89724414264303
