Time 1s	hr 52.675992548761826
Time 2s	hr 46.05365288939777
Time 3s	hr 44.99000466707105
Time 4s	hr 44.326989648592615
Time 5s	hr 36.550506922027026
Time 6s	hr 41.39958091204302
Time 7s	hr 44.28136484655321
Time 8s	hr 50.82078855695343
Time 9s	hr 55.52542330217806
Time 10s	hr 56.99516841270817
Time 11s	hr 55.90583841753016
Time 12s	hr 55.6676672736581
Time 13s	hr 55.13710295019379
Time 14s	hr 53.84508315738856
Time 15s	hr 49.928853983537614
Time 16s	hr 45.970886571866444
Time 17s	hr 44.382778135810455
Time 18s	hr 44.978223632396414
Time 19s	hr 48.227795310148686
Time 20s	hr 50.37260556368528
Time 21s	hr 53.892641777141066
Time 22s	hr 50.62995156971236
Time 23s	hr 57.47656952675808
Time 24s	hr 57.71418011795283
Time 25s	hr 50.90867870306451
Time 26s	hr 51.76124762205819
Time 27s	hr 46.96901718975629
Time 28s	hr 44.75190947873705
Time 29s	hr 49.08798268213561
Time 30s	hr 50.783313568047014
Time 31s	hr 53.1456108881115
Time 32s	hr 51.53706947596692
Time 33s	hr 55.06348682372346
Time 34s	hr 57.065734161848845
Time 35s	hr 55.735667558574704
Time 36s	hr 54.784276916584524
Time 37s	hr 50.91573093756793
Time 38s	hr 54.888054136454535
Time 39s	hr 51.354408326603455
Time 40s	hr 55.648365951814945
Time 41s	hr 48.473566244816666
Time 42s	hr 49.875550629976054
Time 43s	hr 59.15896655201476
Time 44s	hr 56.72075270539601
Time 45s	hr 59.20111499379952
Time 46s	hr 58.525446260491904
Time 47s	hr 49.21160143819502
Time 48s	hr 48.90542896372602
Time 49s	hr 46.31973340743935
Time 50s	hr 48.31741546279527
Time 51s	hr 47.3273357654419
Time 52s	hr 44.38996316299045
Time 53s	hr 45.87927131919833
Time 54s	hr 51.23980636093186
Time 55s	hr 48.41673201160451
Time 56s	hr 50.64089305649048
Time 57s	hr 49.782330390330685
Time 58s	hr 53.768623799020084
Time 59s	hr 59.665718634750085
Time 60s	hr 55.56103513403353
