Time 1s	hr 42.08674912311975
Time 2s	hr 37.46691008363197
Time 3s	hr 39.05413743112108
Time 4s	hr 38.57195149688776
Time 5s	hr 37.876276662517526
Time 6s	hr 31.083792371872956
Time 7s	hr 30.543344100339883
Time 8s	hr 34.957253513000275
Time 9s	hr 35.809221502395054
Time 10s	hr 37.58791146873631
Time 11s	hr 38.867209982760194
Time 12s	hr 44.20549619564607
Time 13s	hr 48.92743020354355
Time 14s	hr 54.527077504047575
Time 15s	hr 50.910576495138336
Time 16s	hr 52.87744848080541
Time 17s	hr 51.46295952951336
Time 18s	hr 48.76806830260184
Time 19s	hr 53.41367878243925
Time 20s	hr 58.10044281897671
Time 21s	hr 55.99220532509312
Time 22s	hr 48.07766947503267
Time 23s	hr 47.53525039212647
Time 24s	hr 42.789834011608534
Time 25s	hr 49.589017440017024
Time 26s	hr 49.08200544779229
Time 27s	hr 49.966602679668405
Time 28s	hr 44.17276464670692
Time 29s	hr 41.275781670145115
Time 30s	hr 43.49700082742027
Time 31s	hr 43.49700082742027
Time 32s	hr 42.14575434809231
Time 33s	hr 43.530538522822255
Time 34s	hr 38.40722957205735
Time 35s	hr 38.72452056972997
Time 36s	hr 43.95618618302119
Time 37s	hr 44.70610430560162
Time 38s	hr 38.01383779723531
Time 39s	hr 38.74837704844707
Time 40s	hr 44.538234897579564
Time 41s	hr 47.3344612459252
Time 42s	hr 48.65129911131556
Time 43s	hr 48.944864955610676
Time 44s	hr 52.37372678106128
Time 45s	hr 48.75333712239405
Time 46s	hr 50.85471704562334
Time 47s	hr 49.43701487933296
Time 48s	hr 46.23019057201321
Time 49s	hr 43.873767440928226
Time 50s	hr 43.35248786741063
Time 51s	hr 46.69091014357064
Time 52s	hr 46.87492937370507
Time 53s	hr 39.6100501471106
Time 54s	hr 41.25874896069066
Time 55s	hr 43.65549903219067
Time 56s	hr 47.2366428944872
Time 57s	hr 54.39428513494043
Time 58s	hr 56.56555981378727
Time 59s	hr 56.56406534422015
Time 60s	hr 55.36050318842545
